Linkedin_Handle,FIN_Number,UTM_Source,Referred_By,Company_SSIC,Company_Address_Line_2,Address_Line_2,Managed_Contact,Company_State_Region,Company_Website,Highest_Qualification,Sales_Region,Contact_Type_Id,Contact_DB_Status_Id,Industry_Group,Lifecycle_Stage,Postal_Code,School_Attended,Cilos_Substage_Id,Sponsoring_Entity_Id,Referrer_Address,Company_Facebook,Nationality_Id,State_Region,Company_Name,Job_Classification,LinkedIn_URL,Date_of_Birth,NRIC_Number,Industry_Sector_Id,Secondary_Business_Acc_Mgr,Company_Owner,Company_Domain_Name,Passport_Number,Secondary_Business_Unit_Id,Company_Segment,Institute_Type,Company_UEN_Registration_No,Referrer_Email_Address,Partner_Type
handle1,FIN1,LinkedIn,Value_Referred_By_1,SSIC1,"Company Block 1","Block 1",1,KL,https://company1.com,Degree,Value_Sales_Region_1,3409fbb9-8ec1-4da4-abd1-c0cb5cbce272,1212f409-12be-420e-90ba-2503dece54da,Public,Lead,50000,"Test University 1",9ba34a4c-a64e-4ca9-bcdc-9bc851cc4775,885bf11a-0a55-4323-a806-7ea2b37487a7,"Ref Address 1",https://facebook.com/company1,4f9b6638-a1e2-432d-840c-728c35e30d2c,KL,"Company 1",Finance,https://linkedin.com/in/user1,1989-06-18,NRIC1,e65fd366-4991-45af-9d66-9dcfc1df5312,Value_Secondary_Business_Acc_Mgr_1,"Owner 1",company1.com,PASS1,0703df9e-5a2e-47d3-81d6-f60475cf9cbf,SME,Training-Institute,UEN1,Value_Referrer_Email_Address_1,Reseller
handle2,FIN2,Facebook,Value_Referred_By_2,SSIC2,"Company Block 2","Block 2",0,KL,https://company2.com,Master,Value_Sales_Region_2,8ac8eb15-c2cd-4b09-8007-d9e1ac27c985,ce7f3356-ceb6-44a9-9587-582bd23de3b7,NGO,Customer,50000,"Test University 2",6447067f-5e62-411f-9f5f-212cd5264950,4e7421b8-aeab-4935-8019-9a4f423aa478,"Ref Address 2",https://facebook.com/company2,57dfed80-29e3-400e-829f-38f912682289,KL,"Company 2",Sales,https://linkedin.com/in/user2,1999-03-19,NRIC2,0e15f8c3-9e3e-43f1-8717-3cea8ff14769,Value_Secondary_Business_Acc_Mgr_2,"Owner 2",company2.com,PASS2,7b306ebf-29c6-448a-94a9-2dd4277d25a9,Government,HigherED,UEN2,Value_Referrer_Email_Address_2,Direct
handle3,FIN3,Direct,Value_Referred_By_3,SSIC3,"Company Block 3","Block 3",1,KL,https://company3.com,PhD,Value_Sales_Region_3,d23deedc-3d33-496c-b54e-2194de71b838,5029bf69-94e4-4b19-9716-ea6a82498d69,Private,Alumni,50000,"Test University 3",4c8f1f68-e614-40d0-abcb-bfaa112babfb,92231e37-6e29-4eaf-8642-01241dc61cd1,"Ref Address 3",https://facebook.com/company3,c8d2c732-dc53-48ca-bc67-99d1d5cc94a8,KL,"Company 3",Marketing,https://linkedin.com/in/user3,1986-11-25,NRIC3,b9429790-b9ec-4c26-8602-acdf54c801f1,Value_Secondary_Business_Acc_Mgr_3,"Owner 3",company3.com,PASS3,238a987d-fbed-4585-b8b1-b029a130f0cb,Education,Training-Institute,UEN3,Value_Referrer_Email_Address_3,Partner
handle4,FIN4,Google,Value_Referred_By_4,SSIC4,"Company Block 4","Block 4",0,KL,https://company4.com,Diploma,Value_Sales_Region_4,deb08769-5780-4c1b-87e9-aea7b953f4ff,ee393c80-b800-41b0-8fe3-7f9eca67b9f7,Public,Prospect,50000,"Test University 4",2db2caa6-f35e-4ec6-bfa2-4cbf2627123e,73130ab4-0fcc-441e-837a-1fa738e2abcb,"Ref Address 4",https://facebook.com/company4,b48231b5-c47b-4da3-9368-3a581fb8c7e8,KL,"Company 4",IT,https://linkedin.com/in/user4,1997-12-04,NRIC4,b2e194b7-dbc4-4e8a-88cb-484699b6a40b,Value_Secondary_Business_Acc_Mgr_4,"Owner 4",company4.com,PASS4,0a307ddc-0d1d-4ee2-8829-4c15af3d9c5f,Corporate,HigherED,UEN4,Value_Referrer_Email_Address_4,Reseller
handle5,FIN5,LinkedIn,Value_Referred_By_5,SSIC5,"Company Block 5","Block 5",1,KL,https://company5.com,Degree,Value_Sales_Region_5,cfcffe91-7607-4a17-963e-10b8dd8b1be6,94699d4d-44e6-4c0d-b944-10ba37eea144,NGO,Lead,50000,"Test University 5",d2af744c-d217-4633-a5c9-ccfdbcdee7be,67c939a4-9d57-4402-ba5f-0578fcae7ac7,"Ref Address 5",https://facebook.com/company5,43abea1c-cc4e-46cc-a2f3-4f56c21f852b,KL,"Company 5",Finance,https://linkedin.com/in/user5,1997-11-25,NRIC5,26bd53df-c37f-4abf-8180-c31c334e4cb1,Value_Secondary_Business_Acc_Mgr_5,"Owner 5",company5.com,PASS5,08058574-f69d-4573-863f-df5844d482f3,SME,Training-Institute,UEN5,Value_Referrer_Email_Address_5,Direct
handle6,FIN6,Facebook,Value_Referred_By_6,SSIC6,"Company Block 6","Block 6",0,KL,https://company6.com,Master,Value_Sales_Region_6,4cf2400b-0e97-45bd-ab64-1d2d5968d76a,5ceef112-de9d-4531-bb48-afe4e9e21235,Private,Customer,50000,"Test University 6",6b4a5a2c-0612-488b-89a8-4c55320ba288,8d946b45-5f98-47d1-9170-abfdef6fc9c6,"Ref Address 6",https://facebook.com/company6,cd7ac3a3-9b77-457e-9ccb-f70d405df605,KL,"Company 6",Sales,https://linkedin.com/in/user6,1988-07-25,NRIC6,d1261d01-10a9-48b9-9592-a821e58e165f,Value_Secondary_Business_Acc_Mgr_6,"Owner 6",company6.com,PASS6,34970d88-328b-4660-af9b-fcaccda3e354,Government,HigherED,UEN6,Value_Referrer_Email_Address_6,Partner
handle7,FIN7,Direct,Value_Referred_By_7,SSIC7,"Company Block 7","Block 7",1,KL,https://company7.com,PhD,Value_Sales_Region_7,11eacc82-9467-4712-a9e2-d553e9c3c5ed,a49a7918-fa8e-410b-8d55-08f03f88af78,Public,Alumni,50000,"Test University 7",b6522a28-8b17-477d-be45-8b9e5115ae0c,5cc38248-c992-4345-b42a-c89c594e4bdd,"Ref Address 7",https://facebook.com/company7,433a14ab-cbc4-48a8-b852-ad09a2a26fef,KL,"Company 7",Marketing,https://linkedin.com/in/user7,1997-04-13,NRIC7,bc265fb8-038f-4b57-8534-de13a2ae6bdd,Value_Secondary_Business_Acc_Mgr_7,"Owner 7",company7.com,PASS7,c3e6835f-e6b4-4ad6-ae4e-8cade7360df1,Education,Training-Institute,UEN7,Value_Referrer_Email_Address_7,Reseller
handle8,FIN8,Google,Value_Referred_By_8,SSIC8,"Company Block 8","Block 8",0,KL,https://company8.com,Diploma,Value_Sales_Region_8,eb24dee4-1144-4676-829a-6823a47f5d95,d3843c08-c35d-423b-8611-f134dfe0821e,NGO,Prospect,50000,"Test University 8",4d1889a1-e154-4cca-8aab-97ec3c228888,6d228199-2026-44e0-a1c3-38c86428e631,"Ref Address 8",https://facebook.com/company8,2f9a36b5-7748-4712-8ccf-3d5da628b19f,KL,"Company 8",IT,https://linkedin.com/in/user8,2000-10-04,NRIC8,23859445-31e8-4e46-a7db-24cecf2966a3,Value_Secondary_Business_Acc_Mgr_8,"Owner 8",company8.com,PASS8,143f7c40-6838-4bc4-99e1-458426cd310c,Corporate,HigherED,UEN8,Value_Referrer_Email_Address_8,Direct
handle9,FIN9,LinkedIn,Value_Referred_By_9,SSIC9,"Company Block 9","Block 9",1,KL,https://company9.com,Degree,Value_Sales_Region_9,9e4bfc65-054a-4aad-956e-fa22ad4df13b,d59b34a7-c577-4cef-a5b1-edb21d1a17ed,Private,Lead,50000,"Test University 9",a4fad9e9-097d-4657-813b-1bcc06644242,de95058d-5d33-4f6c-86cc-8ec9bfe76e52,"Ref Address 9",https://facebook.com/company9,2f0d606c-1b00-44e8-99dd-bf0554a74542,KL,"Company 9",Finance,https://linkedin.com/in/user9,1984-10-19,NRIC9,c09a713f-e6bb-4cce-8b3b-049aeb865799,Value_Secondary_Business_Acc_Mgr_9,"Owner 9",company9.com,PASS9,1b0ea5fd-72ec-4de9-9546-b9cbfc7e2c25,SME,Training-Institute,UEN9,Value_Referrer_Email_Address_9,Partner
handle10,FIN10,Facebook,Value_Referred_By_10,SSIC10,"Company Block 10","Block 10",0,KL,https://company10.com,Master,Value_Sales_Region_10,90db1c83-68bc-4178-be63-e7c4d492af14,9f80e4d7-08aa-43e7-98e4-16fc2458aaaf,Public,Customer,50000,"Test University 10",b270d1d6-2d30-4487-b4cf-06031be43829,2321da37-561d-4d66-b173-b39f1c0b1d1a,"Ref Address 10",https://facebook.com/company10,4a266f12-f6f4-4241-bf2e-3fdc22cca360,KL,"Company 10",Sales,https://linkedin.com/in/user10,1996-02-26,NRIC10,56d2debc-7eca-4df0-831e-0ea2eea2df41,Value_Secondary_Business_Acc_Mgr_10,"Owner 10",company10.com,PASS10,87fd3a16-c217-4f55-b251-0666206d133c,Government,HigherED,UEN10,Value_Referrer_Email_Address_10,Reseller
