Contact_Type_Id,Contact_Notes,Date_of_Birth,Primary_Business_Unit_Id,Contact_Person,Company_UEN_Registration_No,Website_URL,First_Name,Company_City,NRIC_Number,Referrer_Email_Address,Secondary_Business_Unit_Id,Company_Id,UTM_Source,Do_Not_Call,Company_Address_Line_2,Managed_Contact,Postal_Code,Company_Website,Referrer_Address,Next_Activity_Date,Company_Linkedin_URL,Company_Owner,School_Attended,Cilos_Substage_Id,Company_Postal_Code,Company_Facebook,Secondary_Business_Acc_Mgr,Lead_Status,Career_Level,Salutation,Major,Facebook_Id,Current_Income_Yearly,Passport_Number,Company_Size_Category_Code,UTM_Campaign,Job_Classification,WhatsApp_Phone_Number,Primary_Business_Acc_Mgr,Marketing_Campaign_Id,Race_Id,Address_Line_1,Industry_Group,FIN_Number,Lifecycle_Stage,Agentic_Type_Id,Current_Designation,Sales_Region,Industry_Sector,Company_Phone,Annual_Revenue,EduCLaaS_Account_Manager_Name,Mobile_Phone_Number,Parent_Guardian_Contact_No,Company_SSIC,No_of_Work_Experience_Year,Last_Name,UTM_Medium,State_Region
9f3efa20-d83d-4291-880f-18c6fed2c640,"Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. ",1983-04-22,c46559ee-87e5-4cfa-8150-201a2a6b9452,"Manager 1",UEN1,https://company1.com,User1,"Kuala Lumpur",NRIC1,Value_Referrer_Email_Address_1,a5e56c91-8cd6-42dd-a54f-bec072be0d82,e7dae71e-ee29-4381-acfe-54185d756fcb,LinkedIn,1,"Company Block 1",1,50000,https://company1.com,"Ref Address 1",2026-03-04,https://linkedin.com/company/1,"Owner 1","Test University 1",253589df-6751-419b-9510-d7ea909eda86,50000,https://facebook.com/company1,Value_Secondary_Business_Acc_Mgr_1,Working,Value_Career_Level_1,Ms,Business,ca99baca-6e7c-4487-ac49-8a97a26b4c99,64895,PASS1,Medium,"Campaign 2",Finance,0122888387,Value_Primary_Business_Acc_Mgr_1,f8d30892-f9ac-4aed-84a4-898cd7262297,6043c189-009f-4a10-91a0-193852ea9deb,"Street 1",Public,FIN1,Lead,5582b9f4-7992-4654-a711-f2c3867955f5,Mid,Value_Sales_Region_1,Value_Industry_Sector_1,038076473,57574,"Account Manager 1",0136957641,0112655891,SSIC1,11,Test1,Email,KL
6b3af7e3-9a12-4ab6-9253-2038e9ac01ea,"Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. ",1997-09-28,d5514b1e-fd8e-401a-b302-571ab4850845,"Manager 2",UEN2,https://company2.com,User2,"Kuala Lumpur",NRIC2,Value_Referrer_Email_Address_2,de824c06-98e1-4378-9cbf-9fd7faef94a2,072f7c61-40ba-4ef6-aee8-ea8247a5b0f9,Facebook,0,"Company Block 2",0,50000,https://company2.com,"Ref Address 2",2026-03-04,https://linkedin.com/company/2,"Owner 2","Test University 2",27eeb4d4-82c4-4eae-815e-14d5804dd69c,50000,https://facebook.com/company2,Value_Secondary_Business_Acc_Mgr_2,Nurture,Value_Career_Level_2,Mrs,IT,ef5d4b0f-c36e-4300-b032-172d2a894650,39228,PASS2,Large,"Campaign 3",Sales,0194814048,Value_Primary_Business_Acc_Mgr_2,68574dae-fa50-4fd9-8a52-640ec32172ef,7085783a-d604-4ee2-bffd-b46a1373393b,"Street 2",NGO,FIN2,Customer,1b6fb641-8f39-4964-b591-bef380b2eb54,Senior,Value_Sales_Region_2,Value_Industry_Sector_2,036731637,493630,"Account Manager 2",0196127333,0110357475,SSIC2,1,Test2,Organic,KL
89440491-e106-4d12-99f2-0af7092edcd4,"Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. ",1993-07-13,15304f53-db94-4165-8c4f-329bec1b4e49,"Manager 3",UEN3,https://company3.com,User3,"Kuala Lumpur",NRIC3,Value_Referrer_Email_Address_3,c2ac1fdb-d947-4be8-b792-19a393ecae07,61c243fe-758f-4483-887d-4eb3cab20252,Direct,1,"Company Block 3",1,50000,https://company3.com,"Ref Address 3",2026-03-04,https://linkedin.com/company/3,"Owner 3","Test University 3",7a95ba28-948b-4285-81f1-626b840e411b,50000,https://facebook.com/company3,Value_Secondary_Business_Acc_Mgr_3,Converted,Value_Career_Level_3,Dr,Engineering,4d689a3e-41b5-40f3-ac1d-f32de2844c5d,58977,PASS3,Small,"Campaign 4",Marketing,0126354179,Value_Primary_Business_Acc_Mgr_3,6ef3fd34-6a64-49b3-9671-46ee8dc99444,189d3f9f-34d2-4df6-9c3b-4021e2c7aa4c,"Street 3",Private,FIN3,Alumni,27b1b28a-aa6a-47d5-85e3-0b02099ea262,Lead,Value_Sales_Region_3,Value_Industry_Sector_3,035236278,93891,"Account Manager 3",0152072116,0184785338,SSIC3,1,Test3,Referral,KL
114d34c6-f9b4-4fbc-9555-78dc75846fd0,"Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. ",1994-05-12,2e577f8d-01d5-4b6c-b7e8-d6f10f71b586,"Manager 4",UEN4,https://company4.com,User4,"Kuala Lumpur",NRIC4,Value_Referrer_Email_Address_4,7554041d-6630-4644-82ca-8110d9725853,79f829c9-a3c0-4d89-a3ee-152683f86f89,Google,0,"Company Block 4",0,50000,https://company4.com,"Ref Address 4",2026-03-04,https://linkedin.com/company/4,"Owner 4","Test University 4",eed0d622-9784-4f3f-a4ec-9282e26baf74,50000,https://facebook.com/company4,Value_Secondary_Business_Acc_Mgr_4,New,Value_Career_Level_4,Mdm,"Computer Science",d08faaa7-1750-49b4-86fb-7d7e75a3cd8a,86329,PASS4,Medium,"Campaign 5",IT,0180303504,Value_Primary_Business_Acc_Mgr_4,c453457b-53b2-4840-af98-9b379d5b8267,0778f828-99f5-4ec1-b247-4792c3d3428a,"Street 4",Public,FIN4,Prospect,908b0b45-db35-4b36-ba04-7681feefcada,Junior,Value_Sales_Region_4,Value_Industry_Sector_4,036054485,401042,"Account Manager 4",0128360293,0168457147,SSIC4,1,Test4,CPC,KL
7eaf05fd-24c0-4c25-a144-193a7ba14999,"Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. ",1982-06-15,60b57671-f9be-4518-b4bf-42ba758076cf,"Manager 5",UEN5,https://company5.com,User5,"Kuala Lumpur",NRIC5,Value_Referrer_Email_Address_5,663d3bcd-36bd-4418-94d3-872bc9a2209c,0300eb74-673a-474c-a957-0abc0f2af955,LinkedIn,1,"Company Block 5",1,50000,https://company5.com,"Ref Address 5",2026-03-04,https://linkedin.com/company/5,"Owner 5","Test University 5",46fb365e-d6ea-4f28-82c9-edbdd3a3d3d8,50000,https://facebook.com/company5,Value_Secondary_Business_Acc_Mgr_5,Working,Value_Career_Level_5,Mr,Business,36404360-4964-4246-bf33-b33735478d86,69760,PASS5,Large,"Campaign 1",Finance,0168735042,Value_Primary_Business_Acc_Mgr_5,2c7879d1-cdf1-42af-a95a-fd7d5a6967a8,45939780-9702-4328-91f7-7084c082cf2e,"Street 5",NGO,FIN5,Lead,1449945f-2afc-4cbb-85d3-5e9ffa693f39,Mid,Value_Sales_Region_5,Value_Industry_Sector_5,037094779,429110,"Account Manager 5",0178125040,0179985456,SSIC5,7,Test5,Email,KL
f50f5d0f-c03c-4572-be62-5d734ebef9c3,"Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. ",1996-07-05,dffca806-1dfd-48ca-8256-a28e01975de7,"Manager 6",UEN6,https://company6.com,User6,"Kuala Lumpur",NRIC6,Value_Referrer_Email_Address_6,0005869e-81d7-4737-8873-a7930d6dece8,d1893261-7586-4fb7-85e6-11ee0fa81f94,Facebook,0,"Company Block 6",0,50000,https://company6.com,"Ref Address 6",2026-03-04,https://linkedin.com/company/6,"Owner 6","Test University 6",a809a27b-446c-4195-bdb3-2a9d6a8bfd2b,50000,https://facebook.com/company6,Value_Secondary_Business_Acc_Mgr_6,Nurture,Value_Career_Level_6,Ms,IT,e85824d4-a557-4d74-acba-092428e7243d,135549,PASS6,Small,"Campaign 2",Sales,0116769998,Value_Primary_Business_Acc_Mgr_6,2d6fe9c2-591b-46a8-b9dd-b330e5bc5542,3871385d-4b2c-4f5a-a645-49c317e5e137,"Street 6",Private,FIN6,Customer,875f87cc-8a5c-442b-9f85-a88b54661490,Senior,Value_Sales_Region_6,Value_Industry_Sector_6,035281483,168302,"Account Manager 6",0178528530,0173556403,SSIC6,6,Test6,Organic,KL
4a916e6d-b9d4-4591-beda-91ae84246ec9,"Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. ",1992-08-04,ca91b22d-fb78-43d0-819a-09835aaaab3b,"Manager 7",UEN7,https://company7.com,User7,"Kuala Lumpur",NRIC7,Value_Referrer_Email_Address_7,bbd230da-bbaa-4ef5-82e9-705c14a9d9ed,7a7a7dd7-761f-403c-a321-58fd33308fbe,Direct,1,"Company Block 7",1,50000,https://company7.com,"Ref Address 7",2026-03-04,https://linkedin.com/company/7,"Owner 7","Test University 7",cacb0b41-fde5-43c8-9f18-1f6c3331c97d,50000,https://facebook.com/company7,Value_Secondary_Business_Acc_Mgr_7,Converted,Value_Career_Level_7,Mrs,Engineering,3d4af38c-f86d-4a3b-8811-b5ae0a8b9c99,106641,PASS7,Medium,"Campaign 3",Marketing,0190251646,Value_Primary_Business_Acc_Mgr_7,c75892f8-5937-43fa-8a79-ac5c55d45ec6,62ac6f88-83a1-4775-86ca-39270d606752,"Street 7",Public,FIN7,Alumni,98e5e22e-0935-4b2b-bffc-6d4525bf5318,Lead,Value_Sales_Region_7,Value_Industry_Sector_7,039681156,436057,"Account Manager 7",0147102774,0151655287,SSIC7,0,Test7,Referral,KL
b3caa1ea-358c-4f16-b13f-acd03f75f7ba,"Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. ",1986-09-09,4d9c7a3f-5b10-4b0c-a3fb-3503239f537b,"Manager 8",UEN8,https://company8.com,User8,"Kuala Lumpur",NRIC8,Value_Referrer_Email_Address_8,fd851e83-a3fa-4cc2-8148-7fe05c343343,42316eed-2fa4-47af-9cd0-c5f1ae3b5569,Google,0,"Company Block 8",0,50000,https://company8.com,"Ref Address 8",2026-03-04,https://linkedin.com/company/8,"Owner 8","Test University 8",78c4dc81-f63c-495d-bb3c-72579efb47b8,50000,https://facebook.com/company8,Value_Secondary_Business_Acc_Mgr_8,New,Value_Career_Level_8,Dr,"Computer Science",6d314356-0aad-4264-89cd-4e1c7fffe99d,39018,PASS8,Large,"Campaign 4",IT,0194209484,Value_Primary_Business_Acc_Mgr_8,eefdd354-eb62-4b72-a442-1dfed5c720ff,52d37abc-a673-4017-bc32-3a7eb0cc7745,"Street 8",NGO,FIN8,Prospect,908bcda5-ee90-4fbf-888f-0aeef8d843d9,Junior,Value_Sales_Region_8,Value_Industry_Sector_8,031542934,204321,"Account Manager 8",0135306485,0115601516,SSIC8,5,Test8,CPC,KL
fe51cd93-c747-45e1-a651-cb277f611c41,"Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. ",1997-11-27,fc5bf406-9644-43b7-b23f-cc53571cd0a9,"Manager 9",UEN9,https://company9.com,User9,"Kuala Lumpur",NRIC9,Value_Referrer_Email_Address_9,eef3920f-aa29-4782-af37-7e6aa12fc6de,111ad406-c32e-4752-9d75-86edcf8d2835,LinkedIn,1,"Company Block 9",1,50000,https://company9.com,"Ref Address 9",2026-03-04,https://linkedin.com/company/9,"Owner 9","Test University 9",eebb3b69-5963-4c92-b87e-309d3481002f,50000,https://facebook.com/company9,Value_Secondary_Business_Acc_Mgr_9,Working,Value_Career_Level_9,Mdm,Business,5054c63f-9c3c-46cf-a2c3-0c4aa1542a13,133520,PASS9,Small,"Campaign 5",Finance,0152361924,Value_Primary_Business_Acc_Mgr_9,6463f9a8-7bca-4242-8b6b-8a1e3dddd317,60505972-6a02-4e35-b6c9-fc419ca2c4bb,"Street 9",Private,FIN9,Lead,5c944f67-f76e-4e41-b77c-2e5cb50f0124,Mid,Value_Sales_Region_9,Value_Industry_Sector_9,033322097,177654,"Account Manager 9",0165985004,0190932305,SSIC9,12,Test9,Email,KL
a2d1c747-e32d-401d-90c1-31961149e95d,"Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. ",1993-06-23,37ab741c-d0dd-4ba0-8ad5-3a24a8413e93,"Manager 10",UEN10,https://company10.com,User10,"Kuala Lumpur",NRIC10,Value_Referrer_Email_Address_10,bc735776-96ea-4f0c-a41a-3e5a46760870,25d1ef62-5a8a-4728-9a5b-37937809e134,Facebook,0,"Company Block 10",0,50000,https://company10.com,"Ref Address 10",2026-03-04,https://linkedin.com/company/10,"Owner 10","Test University 10",f6c32bf6-8dff-4cbf-a7a7-6dbdf3062634,50000,https://facebook.com/company10,Value_Secondary_Business_Acc_Mgr_10,Nurture,Value_Career_Level_10,Mr,IT,e5fb28af-fb98-47aa-828d-304f236d84b0,48314,PASS10,Medium,"Campaign 1",Sales,0164090199,Value_Primary_Business_Acc_Mgr_10,5d7a67a5-ac6b-48f4-9d34-bde9ff057c0f,89932142-0b94-41a3-b9be-c084f0e9f848,"Street 10",Public,FIN10,Customer,11e60b1e-64a6-488e-a7e6-6814e7af1c22,Senior,Value_Sales_Region_10,Value_Industry_Sector_10,032984586,205847,"Account Manager 10",0139721412,0177476359,SSIC10,5,Test10,Organic,KL
