Institute_Type,Do_Not_Call,Secondary_Business_Unit_Id,Parent_Guardian_Email,Major,Company_Website,Postal_Code,Sales_Campaign_Id,Resume,Solution,City,Company_City,Contact_Person_Email,No_of_Work_Experience_Year,Highest_Qualification,EduCLaaS_Account_Manager_Name,UTM_Campaign,Lead_Status,Phone_Number,Date_of_Birth,Contact_DB_Status_Id,FIN_Number,Last_Name,Company_Size_Category_Code,Contact_Source,Address_Line_1,Contact_Owner,Secondary_Business_Acc_Mgr,Company_State_Region,Company_Owner,Cilos_Substage_Id,Industry_Sector_Id,Company_Address_Line_1,UTM_Medium,Company_Name,Company_Phone,Country_Id,NRIC_Number,Website_URL,UTM_Source,Contact_Type_Id,Company_Postal_Code,Industry_Group,Address_Line_2,Primary_Business_Unit_Id,Race_Id,Primary_Business_Acc_Mgr,Job_Title,Managed_Contact,Country,Personal_Email,Current_Income_Yearly,Industry_Sector,First_Name,Company_Code,Sales_Region,Company_Linkedin_URL,Company_Facebook,Agentic_Type_Id,Parent_Guardian_Contact_No,Facebook_Id,Referrer_Address,Viber_Number,Sponsoring_Entity_Id,Company_Domain_Name,Industry,Referred_By,Lifecycle_Stage,State_Region,Mobile_Phone_Number,Parent_Guardian_NRIC_Passport_No,Employee_Range,Company_Notes,Company_Segment,WhatsApp_Phone_Number,Company_Address_Line_2,Annual_Revenue,Nationality_Id,Company_Status,CILOS_Life_Cycle_Stage,Salutation,School_Attended,Desired_Quarter_Intake,Company_UEN_Registration_No,Company_SSIC,Contact_Person,Next_Activity_Date,Partner_Type,LinkedIn_URL,Career_Level,Curation_Id,Referrer_Name,Referrer_Email_Address,Job_Classification,Current_Designation,Company_Email,Marketing_Campaign_Id,Solution_Group_Id,Work_Email,Contact_Notes,Passport_Number,Channel_Ref_Id,Linkedin_Handle,Company_Id,Residence_Status_Id
Training-Institute,1,c89ea670-e1d8-467d-b0d5-82bab433deb6,parent1@example.com,Business,https://company1.com,50000,9de27b67-5208-49ba-a10c-bc10f19b6e1b,resume1.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager1@company.com,7,Degree,"Account Manager 1","Campaign 2",Working,035611891,1980-09-05,7943f7d7-8303-43f8-9774-4dccf2746b40,FIN1,Test1,Medium,Sales,"Street 1",Value_Contact_Owner_1,Value_Secondary_Business_Acc_Mgr_1,KL,"Owner 1",f3885f76-4c62-47ea-b84e-f16ab2ee7a82,5a0d263d-037f-48e0-9bbf-4348d83c6eaf,"Company Street 1",Email,"Company 1",038658829,eaf41111-f74d-4225-963f-a8d9d6392b56,NRIC1,https://company1.com,LinkedIn,204b3a80-35e9-4234-97b0-61c80f0329f8,50000,Public,"Block 1",a4b709b1-84d7-47a8-8f0a-06018f79cddb,64da7248-f70f-40de-befe-afa66d24db09,Value_Primary_Business_Acc_Mgr_1,Analyst,1,Malaysia,user1@example.com,87567,Value_Industry_Sector_1,User1,C1,Value_Sales_Region_1,https://linkedin.com/company/1,https://facebook.com/company1,f41fa05e-45ee-4c3b-b42d-678f3fc255c7,0142292625,b17eb5ef-1824-4902-927a-cccc0dc8bb56,"Ref Address 1",0145840836,fc272dbc-a6be-4b8c-8122-9fcfc0d6ec67,company1.com,Finance,Value_Referred_By_1,Lead,KL,0196195127,PP1,11-50,"Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. Company notes 1. ",SME,0153254527,"Company Block 1",328993,2835d4fd-62a3-44ac-9055-70981ad8b205,Inactive,Value_CILOS_Life_Cycle_Stage_1,Ms,"Test University 1",2025-Q2,UEN1,SSIC1,"Manager 1",2026-03-04,Reseller,https://linkedin.com/in/user1,Value_Career_Level_1,ddb6c28a-7040-4f9a-9c94-302d5155e8db,"Referrer 1",Value_Referrer_Email_Address_1,Finance,Mid,contact1@company.com,f0877eac-64a5-4ca4-9641-5b112c7d8bb0,2b43ce20-07bb-4a1d-8da8-9d5a2978126c,work1@example.com,"Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. Generated note 1. ",PASS1,4f1ebe79-2b37-40e8-8917-8a2a1cb7707d,handle1,ba4699be-1297-4aac-aa9b-04ea18b32dea,c27109f6-6150-417b-8229-11359aeb8dbc
HigherED,0,3a66b641-69fe-4e3b-8620-f6cbeb87c1c8,parent2@example.com,IT,https://company2.com,50000,0cd54eca-982d-4ab7-8755-0c1ae785bf62,resume2.pdf,"Solution C","Kuala Lumpur","Kuala Lumpur",manager2@company.com,13,Master,"Account Manager 2","Campaign 3",Nurture,032169549,1999-05-28,3d407bb5-2f24-422d-9f21-58d6b05987a8,FIN2,Test2,Large,Purchased,"Street 2",Value_Contact_Owner_2,Value_Secondary_Business_Acc_Mgr_2,KL,"Owner 2",920eb79e-aeaa-4977-a8e3-65321098823d,305328dd-027a-449d-8861-0e8633d0c291,"Company Street 2",Organic,"Company 2",038899314,b82e89a5-0527-4788-979c-99512359fc77,NRIC2,https://company2.com,Facebook,e6884e26-80f8-4977-baa9-7d83d7aec9a8,50000,NGO,"Block 2",9b1c5566-618d-408a-8aa9-d61221455be7,f8afc562-7491-427f-8858-5a4255b53291,Value_Primary_Business_Acc_Mgr_2,Manager,0,Malaysia,user2@example.com,32473,Value_Industry_Sector_2,User2,C2,Value_Sales_Region_2,https://linkedin.com/company/2,https://facebook.com/company2,9095fecf-84fc-445e-b05a-2dac3bb4a15a,0131946822,8e8b3d16-99d8-4ab9-b5bc-683b65093765,"Ref Address 2",0145988410,132431bd-be15-40dc-a847-f94e536ba64f,company2.com,Education,Value_Referred_By_2,Customer,KL,0174276901,PP2,51-200,"Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. Company notes 2. ",Government,0175705879,"Company Block 2",215701,951224b1-2c0a-4df1-b0d7-ed339bb37674,Active,Value_CILOS_Life_Cycle_Stage_2,Mrs,"Test University 2",2025-Q3,UEN2,SSIC2,"Manager 2",2026-03-04,Direct,https://linkedin.com/in/user2,Value_Career_Level_2,584f2a90-bffe-4bb9-8b04-4b60d61dc2c1,"Referrer 2",Value_Referrer_Email_Address_2,Sales,Senior,contact2@company.com,94dc3c71-1ae0-4f7d-838b-3ab20c91f21f,932ecfc8-43e5-47a8-827e-abb79e029b6c,work2@example.com,"Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. Generated note 2. ",PASS2,bcc466d4-db53-4575-81f7-3c9604874c90,handle2,27616c99-32ce-4c71-ac4a-4fbca721ff15,b8f6900d-3bf9-44e5-b01c-cf0dfb606c94
Training-Institute,1,d41efc6e-5847-447a-a6a9-7cd9f66169f0,parent3@example.com,Engineering,https://company3.com,50000,31b93416-fea7-4ff0-b4b9-6f6e16a6dc5c,resume3.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager3@company.com,12,PhD,"Account Manager 3","Campaign 4",Converted,034692757,1999-04-10,10771934-c6d5-4092-b5e4-29a8423e3dee,FIN3,Test3,Small,Linkedin,"Street 3",Value_Contact_Owner_3,Value_Secondary_Business_Acc_Mgr_3,KL,"Owner 3",93cc4538-d827-41d4-ac18-a8e9be4b6071,aacfad5d-33cb-4715-a532-d536ba440dd8,"Company Street 3",Referral,"Company 3",036917323,3f36affb-e1aa-4578-8410-62ea97fc9f34,NRIC3,https://company3.com,Direct,659af6c8-ff50-498b-9e67-d086bdca1c90,50000,Private,"Block 3",ecb40ae8-0b44-4798-a9b7-274ecf06bdd0,bac65e35-aea0-47fb-9448-cd8abe6b5e56,Value_Primary_Business_Acc_Mgr_3,Developer,1,Malaysia,user3@example.com,64510,Value_Industry_Sector_3,User3,C3,Value_Sales_Region_3,https://linkedin.com/company/3,https://facebook.com/company3,18170f15-676d-4ab6-bc36-9c5ae5718eee,0132183757,3e6bfc7e-52ce-449c-a642-fbc8521304df,"Ref Address 3",0163991867,7b1e14b3-7e16-4bd9-a043-8b4eb771f848,company3.com,Retail,Value_Referred_By_3,Alumni,KL,0161601730,PP3,201-500,"Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. Company notes 3. ",Education,0143753175,"Company Block 3",193271,0b344aab-adcc-4037-80ea-7a718cf5ce16,Inactive,Value_CILOS_Life_Cycle_Stage_3,Dr,"Test University 3",2025-Q4,UEN3,SSIC3,"Manager 3",2026-03-04,Partner,https://linkedin.com/in/user3,Value_Career_Level_3,9e007aad-439b-4433-a5b1-9ea906826e00,"Referrer 3",Value_Referrer_Email_Address_3,Marketing,Lead,contact3@company.com,a4854655-49cb-4a89-8340-7dc835e4527a,87d1e568-42f4-46d4-8d43-36e32146a4a7,work3@example.com,"Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. Generated note 3. ",PASS3,a95662aa-105c-44fb-9075-929f54ce2070,handle3,9e9f8514-15a8-4a03-b31b-f2b6aa2faf98,5acca803-696a-4c94-83a2-a5f630999b96
HigherED,0,a9bd157c-d132-4bd7-b167-ff14ee2a2d53,parent4@example.com,"Computer Science",https://company4.com,50000,0357956c-3c29-4272-9e94-8caed92255ba,resume4.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager4@company.com,5,Diploma,"Account Manager 4","Campaign 5",New,032864241,1997-08-24,d39efa0a-1607-491a-8dd5-00f35f9cba14,FIN4,Test4,Medium,Marketing,"Street 4",Value_Contact_Owner_4,Value_Secondary_Business_Acc_Mgr_4,KL,"Owner 4",038efb55-781f-4ab3-ada5-4761dd5619af,e2fdd2e8-1fab-49e8-b9fb-425b021fd8be,"Company Street 4",CPC,"Company 4",039203068,165a0b2c-9897-42df-a6b0-50baab83f933,NRIC4,https://company4.com,Google,cf804f62-7468-4e9a-9c39-8c8eb2f0ea96,50000,Public,"Block 4",be4d9dff-c15a-45f1-8068-91eb2ac46f91,f4287197-3c9e-42b4-b38f-3c8cc606435e,Value_Primary_Business_Acc_Mgr_4,Engineer,0,Malaysia,user4@example.com,126338,Value_Industry_Sector_4,User4,C4,Value_Sales_Region_4,https://linkedin.com/company/4,https://facebook.com/company4,d9d3fa48-08a3-41f3-bdc9-f151649435c3,0171318899,a5b7d7aa-09a6-4653-b9fa-828d310ecaa2,"Ref Address 4",0167796931,bcbbca0f-5b6d-41a1-87e0-363d0a5b76d4,company4.com,Technology,Value_Referred_By_4,Prospect,KL,0198620519,PP4,1-10,"Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. Company notes 4. ",Corporate,0154809702,"Company Block 4",410670,cbe5c001-eebf-413b-b466-37e9082568bb,Active,Value_CILOS_Life_Cycle_Stage_4,Mdm,"Test University 4",2025-Q1,UEN4,SSIC4,"Manager 4",2026-03-04,Reseller,https://linkedin.com/in/user4,Value_Career_Level_4,bc62f1ae-f18a-48d9-8a4d-856a126bd529,"Referrer 4",Value_Referrer_Email_Address_4,IT,Junior,contact4@company.com,6aa8c7ba-1b5c-4167-9c63-801b1e4fa2ce,f48519d3-2373-46bd-bfb2-d9264ec2afdf,work4@example.com,"Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. Generated note 4. ",PASS4,faca3f41-7ff9-4a96-bbaa-20f3e1237394,handle4,928a57df-7330-430d-b52f-8760d2570af0,c633d924-0d29-4d06-a6da-0249745a7ca8
Training-Institute,1,ce092a8e-e485-47a9-bb98-11ea970ca551,parent5@example.com,Business,https://company5.com,50000,05d03b33-5d0b-4643-a8a8-6d8140e5db6e,resume5.pdf,"Solution C","Kuala Lumpur","Kuala Lumpur",manager5@company.com,1,Degree,"Account Manager 5","Campaign 1",Working,033107979,1997-08-20,bb4b2076-eec3-4afd-b1ba-a26c48ace215,FIN5,Test5,Large,Sales,"Street 5",Value_Contact_Owner_5,Value_Secondary_Business_Acc_Mgr_5,KL,"Owner 5",6e87e3fe-8ddc-4dfe-82d2-e3f30d2984fa,fd38edcb-5032-4f7b-adbf-1644e9112880,"Company Street 5",Email,"Company 5",034066495,48589730-a2f5-4115-8664-c1634cf5c91b,NRIC5,https://company5.com,LinkedIn,000489c7-5813-4cb3-8636-7240387b6182,50000,NGO,"Block 5",559e0d61-9f2b-4b72-b3cc-cb56e52f0ffc,167202b6-42e9-4576-bb15-7f314a9e8ac8,Value_Primary_Business_Acc_Mgr_5,Analyst,1,Malaysia,user5@example.com,99016,Value_Industry_Sector_5,User5,C5,Value_Sales_Region_5,https://linkedin.com/company/5,https://facebook.com/company5,ff420cfc-09fa-4c7f-a4b3-eabc0bb3b6a7,0116579521,4648e7e4-2a69-4e13-99be-0b899dd8c898,"Ref Address 5",0130247295,0c1a173a-36f2-4b40-9c54-3b9a4c7bf1f5,company5.com,Finance,Value_Referred_By_5,Lead,KL,0160986338,PP5,11-50,"Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. Company notes 5. ",SME,0185522319,"Company Block 5",418138,793eeba3-7836-499c-85e1-230b4ad41b2e,Inactive,Value_CILOS_Life_Cycle_Stage_5,Mr,"Test University 5",2025-Q2,UEN5,SSIC5,"Manager 5",2026-03-04,Direct,https://linkedin.com/in/user5,Value_Career_Level_5,ee9e0cec-d435-46a2-bd86-6f084862d48d,"Referrer 5",Value_Referrer_Email_Address_5,Finance,Mid,contact5@company.com,ab5c2be0-40ca-4b37-86cb-58ed009dc6e4,615a6c47-bbf5-4e4d-8668-77b34117c3fb,work5@example.com,"Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. Generated note 5. ",PASS5,f2fe8e5a-13ba-44a2-80f0-c80883cef651,handle5,68e794ff-94ce-440c-8956-1b0b61864837,d7a51d84-9258-4a55-84cf-02d9c968506f
HigherED,0,92209cbd-087e-42d0-b96a-1d2a619e626b,parent6@example.com,IT,https://company6.com,50000,12581694-ac24-4e49-ba17-282ccc97ec83,resume6.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager6@company.com,10,Master,"Account Manager 6","Campaign 2",Nurture,032417459,1999-11-20,d0f4ff0c-ed8b-4222-aa85-b558f7c63688,FIN6,Test6,Small,Purchased,"Street 6",Value_Contact_Owner_6,Value_Secondary_Business_Acc_Mgr_6,KL,"Owner 6",6f6dcb07-eb5f-4c42-89c9-9117a81eeb71,372204a4-50ba-4eff-bd93-1767b1b7c023,"Company Street 6",Organic,"Company 6",037164211,c16aa5d6-46bc-4136-9c76-10c0c1376fc0,NRIC6,https://company6.com,Facebook,0be7924f-1dd9-4417-9bdc-36c0026144c0,50000,Private,"Block 6",ada9dc85-6c75-4abd-8390-6c026463671b,3fa0e553-8453-4103-9daf-860d14800517,Value_Primary_Business_Acc_Mgr_6,Manager,0,Malaysia,user6@example.com,102484,Value_Industry_Sector_6,User6,C6,Value_Sales_Region_6,https://linkedin.com/company/6,https://facebook.com/company6,ce84392f-15a0-4186-8264-11369a9c8c7a,0113355566,09ce7e80-951e-432a-ac11-e9d2b0dea1ba,"Ref Address 6",0153148203,ae0e31c1-2f60-479b-84dd-5d79ee5752ad,company6.com,Education,Value_Referred_By_6,Customer,KL,0196202675,PP6,51-200,"Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. Company notes 6. ",Government,0154498416,"Company Block 6",45655,9f84ac45-3b71-479d-91e3-0194fb5b4723,Active,Value_CILOS_Life_Cycle_Stage_6,Ms,"Test University 6",2025-Q3,UEN6,SSIC6,"Manager 6",2026-03-04,Partner,https://linkedin.com/in/user6,Value_Career_Level_6,5a59d627-8a53-42c0-b0c6-83e494031a18,"Referrer 6",Value_Referrer_Email_Address_6,Sales,Senior,contact6@company.com,3d1b3c86-9dd9-4656-bdde-e06c2a600511,1fbf08f8-0d67-4057-b6c5-88258a28a936,work6@example.com,"Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. Generated note 6. ",PASS6,5d9a4406-6f31-4c21-bedc-2a137119fab1,handle6,ff8de91a-12de-4ba0-9c3e-a954598979a8,0e51410c-54f3-42cd-9323-2a8d9b89541d
Training-Institute,1,56c8a762-c16c-4adc-852a-8c8b8d3e3a03,parent7@example.com,Engineering,https://company7.com,50000,9c7f09a1-063e-4ed6-a16a-5b5e7a6df74f,resume7.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager7@company.com,11,PhD,"Account Manager 7","Campaign 3",Converted,035938703,1984-09-22,5816ecd2-2f24-4a28-8431-243418013c44,FIN7,Test7,Medium,Linkedin,"Street 7",Value_Contact_Owner_7,Value_Secondary_Business_Acc_Mgr_7,KL,"Owner 7",917ee18d-2faf-408e-b8cf-b9c7ac9091e8,fce9fadc-c7ca-4370-b07e-d0f67ddfd022,"Company Street 7",Referral,"Company 7",033641830,1b070d55-97be-40d5-af5a-d99f7fb0d62e,NRIC7,https://company7.com,Direct,e31edb64-1257-4972-9673-5db32befbb61,50000,Public,"Block 7",295802f4-426b-49b2-97eb-77285860c545,ebdf97a4-1d61-44c1-ad9f-b522fee53384,Value_Primary_Business_Acc_Mgr_7,Developer,1,Malaysia,user7@example.com,44426,Value_Industry_Sector_7,User7,C7,Value_Sales_Region_7,https://linkedin.com/company/7,https://facebook.com/company7,4323312a-dc5b-4819-a71a-15465f266fb5,0117259770,b7473104-db00-4f47-98eb-b7ee5bb0985b,"Ref Address 7",0134379239,a81ce030-1377-454f-9b42-cbb4b431383f,company7.com,Retail,Value_Referred_By_7,Alumni,KL,0152692379,PP7,201-500,"Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. Company notes 7. ",Education,0136313623,"Company Block 7",37930,4386c6fc-6a8b-48eb-b17f-fe01685b7574,Inactive,Value_CILOS_Life_Cycle_Stage_7,Mrs,"Test University 7",2025-Q4,UEN7,SSIC7,"Manager 7",2026-03-04,Reseller,https://linkedin.com/in/user7,Value_Career_Level_7,e6c8e6f3-ad7e-42f9-aa23-22c88efbd752,"Referrer 7",Value_Referrer_Email_Address_7,Marketing,Lead,contact7@company.com,4a4937d5-64c6-42a0-8bb6-4f0c9e2844da,c4114c02-13ed-428f-bc5d-89fd8fa0df9c,work7@example.com,"Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. Generated note 7. ",PASS7,90e35145-2112-45d4-a2d5-0c66cd168a6a,handle7,5068bece-4c29-458b-9e6c-e247787dc14d,49d68616-7dba-48f5-be26-2e835792dc53
HigherED,0,31b9ebc4-6546-40dd-8775-f95e1e05d7ee,parent8@example.com,"Computer Science",https://company8.com,50000,825dd6a0-9dba-442d-9d37-1bb2371a4fbc,resume8.pdf,"Solution C","Kuala Lumpur","Kuala Lumpur",manager8@company.com,9,Diploma,"Account Manager 8","Campaign 4",New,031886654,1999-08-25,43e51d87-dba6-479e-ab5d-5c6d22fbf01d,FIN8,Test8,Large,Marketing,"Street 8",Value_Contact_Owner_8,Value_Secondary_Business_Acc_Mgr_8,KL,"Owner 8",f7ff570d-017b-4571-8585-6eb1e4e2e6a7,07b487ef-e54b-4902-992e-525c4a1b0e69,"Company Street 8",CPC,"Company 8",035706399,c333a65e-6ea9-4f25-9e3f-135774fc9bf7,NRIC8,https://company8.com,Google,5158753f-b9cd-455d-ac5c-6dfd67a1b1d1,50000,NGO,"Block 8",ba04d8f7-5af8-49eb-b6e1-61c5c3d85136,5fa12db2-c6d4-4639-ace4-ba661d48c3be,Value_Primary_Business_Acc_Mgr_8,Engineer,0,Malaysia,user8@example.com,46775,Value_Industry_Sector_8,User8,C8,Value_Sales_Region_8,https://linkedin.com/company/8,https://facebook.com/company8,ee30d7b7-8ee6-4847-8be7-57c868b550f6,0141144508,262453ea-fda5-433d-9a8a-cef6fe4d1fb8,"Ref Address 8",0139189344,305cfb7f-cdf4-4cfe-a200-d479faf2c117,company8.com,Technology,Value_Referred_By_8,Prospect,KL,0170730644,PP8,1-10,"Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. Company notes 8. ",Corporate,0134773988,"Company Block 8",51814,053049e3-0de6-4b4c-a63b-ee0fb9b50ffb,Active,Value_CILOS_Life_Cycle_Stage_8,Dr,"Test University 8",2025-Q1,UEN8,SSIC8,"Manager 8",2026-03-04,Direct,https://linkedin.com/in/user8,Value_Career_Level_8,155e6db3-b65c-4829-953c-a334db33f174,"Referrer 8",Value_Referrer_Email_Address_8,IT,Junior,contact8@company.com,0642f6eb-31f9-413d-b5d0-6e8524fae9ce,405c8d2c-ca36-4280-9524-ee3abf02c2dd,work8@example.com,"Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. Generated note 8. ",PASS8,e0fed723-bfc6-4319-a315-61a9dbdb2534,handle8,18d11a81-5dbc-4d0c-a009-5a024c264169,66cdf890-aa38-4446-917d-f8a842dbf1a5
Training-Institute,1,74f9b5c2-4917-411e-86c4-d72a594131fc,parent9@example.com,Business,https://company9.com,50000,7b31b1c1-64d6-48c8-90e9-97c68bd24146,resume9.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager9@company.com,8,Degree,"Account Manager 9","Campaign 5",Working,032756555,1993-07-05,868a294d-335f-4693-8cf2-9ee084f5e970,FIN9,Test9,Small,Sales,"Street 9",Value_Contact_Owner_9,Value_Secondary_Business_Acc_Mgr_9,KL,"Owner 9",7cc655ff-1d63-4a0d-aa26-5dbdab148133,ddb123e1-a740-4b30-abe2-a02a81714dbc,"Company Street 9",Email,"Company 9",033845684,2f175799-2f66-4d1b-9721-17dacb14e936,NRIC9,https://company9.com,LinkedIn,fe94295d-5f60-496a-8f6b-0f6c332c52d8,50000,Private,"Block 9",ef4c07d2-5e72-400e-a540-d6d7856d2f10,03cec255-41e1-4944-976c-7e8f296f1d42,Value_Primary_Business_Acc_Mgr_9,Analyst,1,Malaysia,user9@example.com,127119,Value_Industry_Sector_9,User9,C9,Value_Sales_Region_9,https://linkedin.com/company/9,https://facebook.com/company9,581b897d-53ee-49a4-836f-6b24a91d07f1,0111732819,4d2f7d24-74c8-4544-a839-5b2cd38fc8e2,"Ref Address 9",0170421641,6d2cae89-d754-46f7-abbd-0a0977659eed,company9.com,Finance,Value_Referred_By_9,Lead,KL,0136853808,PP9,11-50,"Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. Company notes 9. ",SME,0118746007,"Company Block 9",138964,46dd1a1c-0209-4744-9992-106f93cd1f13,Inactive,Value_CILOS_Life_Cycle_Stage_9,Mdm,"Test University 9",2025-Q2,UEN9,SSIC9,"Manager 9",2026-03-04,Partner,https://linkedin.com/in/user9,Value_Career_Level_9,2fc43249-f863-4618-85c6-68c5dfa21532,"Referrer 9",Value_Referrer_Email_Address_9,Finance,Mid,contact9@company.com,1d0e752f-68bc-4e79-999d-0b2a589c1827,4ae2d778-6e34-4390-ad01-ca4f67811ec8,work9@example.com,"Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. Generated note 9. ",PASS9,cb2767d6-8965-41a1-95f3-9b00f261374e,handle9,e81f2e59-102f-4c75-ab1a-2c66939e5bf5,1f6b3c14-1951-4521-b529-514a21d07ee1
HigherED,0,e2a941ac-eea6-4010-bf70-3890c68ed27b,parent10@example.com,IT,https://company10.com,50000,aed736f4-8229-40e6-a6e2-fe0ed87215d2,resume10.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager10@company.com,3,Master,"Account Manager 10","Campaign 1",Nurture,037216144,1980-01-16,d763868d-7cdd-4fc8-89bd-7a8a06d2905c,FIN10,Test10,Medium,Purchased,"Street 10",Value_Contact_Owner_10,Value_Secondary_Business_Acc_Mgr_10,KL,"Owner 10",7552b89c-e999-4b18-a982-d263363542b6,3f3c7aba-34cd-484a-8129-bc1b1ad36a3e,"Company Street 10",Organic,"Company 10",038998606,65dc5601-1283-4278-8615-fbce3262aa72,NRIC10,https://company10.com,Facebook,f7631846-b66f-46e3-b305-d08e3ddde6c1,50000,Public,"Block 10",ad32793c-5734-4e69-a3c9-8ed5db8c826e,df717151-1e02-48e9-addf-9964463b3d95,Value_Primary_Business_Acc_Mgr_10,Manager,0,Malaysia,user10@example.com,116586,Value_Industry_Sector_10,User10,C10,Value_Sales_Region_10,https://linkedin.com/company/10,https://facebook.com/company10,dac8498a-ba79-41c3-b0ac-f1e8dbb7ea11,0176478020,0440c223-ebf6-46ed-8933-cd5a5d3566b3,"Ref Address 10",0149642865,5f73cf3c-b9ab-46b7-9f7d-db8e128ea335,company10.com,Education,Value_Referred_By_10,Customer,KL,0163513267,PP10,51-200,"Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. Company notes 10. ",Government,0192338033,"Company Block 10",259814,45936100-24cc-4022-a4cc-24e8cdba42bc,Active,Value_CILOS_Life_Cycle_Stage_10,Mr,"Test University 10",2025-Q3,UEN10,SSIC10,"Manager 10",2026-03-04,Reseller,https://linkedin.com/in/user10,Value_Career_Level_10,f45b5caa-3a0e-41bd-8dd4-c19a97611df8,"Referrer 10",Value_Referrer_Email_Address_10,Sales,Senior,contact10@company.com,1091bc44-7fc5-4602-b991-31b2fe07d2f3,29bc18b2-9e8e-4b33-80f4-679b8856768a,work10@example.com,"Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. Generated note 10. ",PASS10,1b285b35-de4e-4cea-ba9c-9322d092eeb0,handle10,51d8a286-0a4b-433b-ac77-e347bc7e3233,b6e6e670-4871-400b-acb6-12510d43fdef
